,iid,partner,pid,gender,age,age_o,int_corr,samerace,date,exphappy,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr,sinc,intel,fun,amb,shar,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,goal_2.0,goal_3.0,goal_4.0,goal_5.0,goal_6.0,goal_nan
6502,426,3,418.0,1,426.0,426.0,0.27,0,2.0,7.0,8.0,8.0,8.0,10.0,9.0,4.0,7.0,6.0,5.0,5.0,3.0,25.0,7.0,35.0,20.0,8.0,5.0,15.0,25.0,20.0,15.0,10.0,15.0,1,0,0,0,0,0
6002,392,12,408.0,0,392.0,392.0,0.29,0,4.0,3.0,4.0,7.0,7.0,8.0,7.0,3.0,3.0,4.0,4.0,8.0,2.0,15.0,20.0,15.0,30.0,10.0,10.0,20.0,10.0,20.0,20.0,10.0,20.0,0,0,0,1,0,0
5527,368,4,344.0,1,368.0,368.0,0.17,0,4.0,4.0,6.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,20.0,10.0,25.0,20.0,10.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,0,0,0,0,0,0
6806,454,3,462.0,0,454.0,454.0,0.13,0,7.0,5.0,8.0,9.0,9.0,9.0,7.0,7.0,9.0,8.0,7.0,9.0,2.0,10.0,20.0,20.0,20.0,10.0,20.0,30.0,30.0,10.0,10.0,0.0,20.0,1,0,0,0,0,0
8144,542,9,517.0,1,542.0,542.0,0.27,0,5.0,8.0,8.0,9.0,8.0,8.0,9.0,6.0,7.0,7.0,7.0,7.0,6.0,25.0,15.0,20.0,20.0,10.0,10.0,15.0,20.0,20.0,20.0,5.0,10.0,1,0,0,0,0,0
1323,93,10,103.0,0,93.0,93.0,-0.06,1,5.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,14.0,20.0,18.0,24.0,18.0,6.0,40.0,5.0,20.0,10.0,10.0,15.0,0,0,0,0,0,0
1,1,2,12.0,0,1.0,1.0,0.54,0,7.0,3.0,6.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,5.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,60.0,0.0,0.0,40.0,0.0,0.0,1,0,0,0,0,0
6960,471,10,490.0,0,471.0,471.0,0.59,0,5.0,5.0,7.0,8.0,8.0,9.0,9.0,4.0,6.0,6.0,5.0,5.0,4.0,15.0,15.0,25.0,10.0,15.0,20.0,30.0,15.0,20.0,10.0,10.0,15.0,1,0,0,0,0,0
5355,359,8,368.0,0,359.0,359.0,0.3,0,6.0,2.0,7.0,10.0,2.0,9.0,8.0,6.0,7.0,7.0,7.0,7.0,6.0,9.0,17.0,23.0,15.0,14.0,22.0,20.0,10.0,25.0,20.0,10.0,15.0,1,0,0,0,0,0
3003,213,16,229.0,0,213.0,213.0,0.05,0,4.0,7.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,7.0,15.52,17.24,17.24,17.24,17.24,15.52,21.43,16.67,21.43,16.67,11.9,11.9,1,0,0,0,0,0
3000,213,13,226.0,0,213.0,213.0,0.34,0,4.0,7.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,7.0,15.52,17.24,17.24,17.24,17.24,15.52,25.64,17.95,15.38,20.51,10.26,10.26,1,0,0,0,0,0
3357,231,10,203.0,1,231.0,231.0,0.07,0,6.0,5.0,8.0,8.0,8.0,9.0,3.0,8.0,8.0,8.0,5.0,5.0,6.0,18.6,20.93,23.26,23.26,2.33,11.63,16.0,20.0,18.0,20.0,18.0,8.0,0,0,0,0,0,0
1347,94,16,91.0,1,94.0,94.0,0.57,0,6.0,5.0,6.0,9.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,8.0,5.0,20.0,20.0,20.0,10.0,10.0,20.0,15.0,3.0,50.0,20.0,2.0,10.0,1,0,0,0,0,0
1044,78,1,94.0,0,78.0,78.0,0.69,0,7.0,7.0,3.0,10.0,3.0,8.0,8.0,4.0,2.0,9.0,2.0,10.0,2.0,10.0,25.0,20.0,10.0,20.0,15.0,20.0,20.0,20.0,10.0,10.0,20.0,1,0,0,0,0,0
2201,161,2,143.0,1,161.0,161.0,-0.15,1,4.0,7.0,8.0,7.0,9.0,9.0,7.0,5.0,10.0,8.0,5.0,10.0,6.0,16.67,18.75,18.75,18.75,18.75,8.33,8.33,20.83,20.83,14.58,16.67,18.75,1,0,0,0,0,0
149,15,10,10.0,1,15.0,15.0,0.24,0,4.0,5.0,7.0,7.0,7.0,9.0,9.0,6.0,9.0,9.0,7.0,8.0,6.0,30.0,10.0,20.0,10.0,10.0,20.0,15.0,15.0,15.0,40.0,10.0,5.0,0,0,0,0,0,0
6931,469,11,491.0,0,469.0,469.0,-0.22,0,3.0,4.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,5.0,20.0,10.0,20.0,20.0,10.0,20.0,30.0,10.0,25.0,20.0,8.0,7.0,1,0,0,0,0,0
1603,109,2,77.0,1,109.0,109.0,0.56,0,4.0,5.0,6.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,7.0,5.0,4.0,15.0,10.0,30.0,10.0,5.0,30.0,15.0,20.0,20.0,20.0,15.0,10.0,0,0,0,0,0,0
